bagid,naam,adamlink
363300000001491,"Gerrit Mannourystraat",https://adamlink.nl/geo/street/gerrit-mannourystraat/1493
363300000003704,"Gerrit Stuyverstraat",https://adamlink.nl/geo/street/gerrit-stuyverstraat/1494
363300000005827,"Gerrit van den Boschpad",https://adamlink.nl/geo/street/gerrit-van-den-boschpad/1495
363300000001085,"Gerrit van der Puijstraat",https://adamlink.nl/geo/street/gerrit-van-der-puijstraat/1496
363300000003707,Geuzenkade,https://adamlink.nl/geo/street/geuzenkade/1503
363300000003709,Gevleweg,https://adamlink.nl/geo/street/gevleweg/1505
363300000001395,Gileppehof,https://adamlink.nl/geo/street/gileppehof/1513
363300000003718,Gloriantstraat,https://adamlink.nl/geo/street/gloriantstraat/1520
363300000003719,"Goeman Borgesiusstraat",https://adamlink.nl/geo/street/goeman-borgesiusstraat/1521
363300000003721,Gooiluststraat,https://adamlink.nl/geo/street/gooiluststraat/1523
363300000003722,Gooioord,https://adamlink.nl/geo/street/gooioord/1524
363300000003726,Gorsstraat,https://adamlink.nl/geo/street/gorsstraat/1529
363300000005649,"Gouden Leeuw",https://adamlink.nl/geo/street/gouden-leeuw/1533
363300000003728,Goudreinetstraat,https://adamlink.nl/geo/street/goudreinetstraat/1535
363300000003729,Goudriaanstraat,https://adamlink.nl/geo/street/goudriaanstraat/1536
363300000003737,"Graham Bellstraat",https://adamlink.nl/geo/street/graham-bellstraat/1545
363300000003740,Grasrijk,https://adamlink.nl/geo/street/grasrijk/1549
363300000005774,Gravestein,https://adamlink.nl/geo/street/gravestein/1554
363300000003745,Grianestraat,https://adamlink.nl/geo/street/grianestraat/1557
363300011951434,"Groene Ridderhof",https://adamlink.nl/geo/street/groene-ridderhof/6456
363300011951435,"Groene Ridderpad",https://adamlink.nl/geo/street/groene-ridderpad/6457
363300000003752,Groenehuyzen,https://adamlink.nl/geo/street/groenehuyzen/1567
363300000003754,Groeneveen,https://adamlink.nl/geo/street/groeneveen/1569
363300000005413,Groenhoven,https://adamlink.nl/geo/street/groenhoven/1571
363300000003755,Groenmarktkade,https://adamlink.nl/geo/street/groenmarktkade/1574
363300000003757,Groetstraat,https://adamlink.nl/geo/street/groetstraat/1577
363300000003758,Grondzeiler,
363300000001428,Grossglockner,https://adamlink.nl/geo/street/grossglockner/1588
363300000001602,"Grote Diestraat",https://adamlink.nl/geo/street/grote-diestraat/1592
363300000003763,"Grote Ruwenberg",https://adamlink.nl/geo/street/grote-ruwenberg/1595
363300000003766,Grubbehoeve,https://adamlink.nl/geo/street/grubbehoeve/1597
363300000005655,"Gulden Kruis",https://adamlink.nl/geo/street/gulden-kruis/1604
363300000001409,Guldenpromenade,https://adamlink.nl/geo/street/guldenpromenade/1609
363300001988928,"H. Stolleplantsoen",https://adamlink.nl/geo/street/h-stolleplantsoen/1619
363300000003778,"Haag en Veld",https://adamlink.nl/geo/street/haag-en-veld/1620
363300000005535,Haardstee,https://adamlink.nl/geo/street/haardstee/1624
363300000003326,Hagenau,https://adamlink.nl/geo/street/hagenau/1638
363300000003327,"Hajo Brugmanshof",https://adamlink.nl/geo/street/hajo-brugmanshof/1640
